GUI_screens,manual_steps,transaction_time,volume,FTE,SLA,Decision_points,Business_exception,Complexity,Overwritting parameters,Development_Days
15,90,5,5,3,0,7,13,1,None,30
31,75,40,2,2,0,3,3,1,None,25
26,120,32,1000,2,1,2,5,2,Complex,40
15,40,100,5,1,0,15,10,1,Complex,20
10,30,90,5,1,1,4,5,2,None,20
40,200,30,25,6,1,25,20,2,Complex,40
15,80,20,5,3,0,4,5,1,Complex,15
0,15,60,14,3,1,20,15,0,None,45
15,500,200,20000,1,1,20,40,2,Complex,65
7,15,3,20,2,0,10,10,1,Complex,15
7,15,7,30,2,1,30,75,2,None,20
0,10,1,30,1,0,15,10,0,None,12
0,10,2,20,1,0,15,10,0,None,30
60,150,15,10,1,1,10,3,2,Complex,20
10,25,5,5,1,0,5,7,1,Complex,25
10,25,8,80,2,1,5,11,2,Complex,40
15,50,10,10,1,0,5,15,1,None,30
20,135,15,20,7,1,5,15,2,Complex,40
17,550,15,6000,1,1,8,10,2,None,45
45,250,8,5,1,1,40,30,2,Complex,30
25,1000,5,15,1,1,10,25,2,Complex,25
15,40,4,2000,1,0,10,7,1,Complex,10
5,140,60,1,0.25,0,7,15,1,None,30
57,200,15,25,1.5,0,15,40,2,Complex,75
