,GUI_screens,manual_steps,transaction_time,volume,FTE,SLA,Decision_points,Business_exception
0,0.02666666666666667,0.08080808080808081,0.013377926421404682,0.00020001000050002502,0.4074074074074074,0.0,0.13157894736842105,0.10309278350515463
1,0.06933333333333333,0.06565656565656566,0.13043478260869565,5.000250012500625e-05,0.25925925925925924,0.0,0.02631578947368421,0.0
2,0.055999999999999994,0.11111111111111112,0.10367892976588629,0.04995249762488124,0.25925925925925924,1.0,0.0,0.020618556701030924
3,0.02666666666666667,0.0303030303030303,0.3311036789297659,0.00020001000050002502,0.1111111111111111,0.0,0.34210526315789475,0.07216494845360824
4,0.013333333333333332,0.020202020202020204,0.2976588628762542,0.00020001000050002502,0.1111111111111111,1.0,0.05263157894736842,0.020618556701030924
5,0.09333333333333332,0.1919191919191919,0.09698996655518395,0.00120006000300015,0.8518518518518519,1.0,0.6052631578947367,0.17525773195876287
6,0.02666666666666667,0.0707070707070707,0.06354515050167224,0.00020001000050002502,0.4074074074074074,0.0,0.05263157894736842,0.020618556701030924
7,0.9999999999999999,0.005050505050505052,0.19732441471571907,0.0006500325016250812,0.4074074074074074,1.0,0.47368421052631576,0.12371134020618557
8,0.02666666666666667,0.494949494949495,0.6655518394648829,0.9999999999999999,0.1111111111111111,1.0,0.47368421052631576,0.38144329896907214
9,0.005333333333333332,0.005050505050505052,0.006688963210702342,0.0009500475023751188,0.25925925925925924,0.0,0.21052631578947367,0.07216494845360824
10,0.005333333333333332,0.005050505050505052,0.02006688963210702,0.0014500725036251812,0.25925925925925924,1.0,0.736842105263158,0.7422680412371134
11,0.9999999999999999,0.0,0.0,0.0014500725036251812,0.1111111111111111,0.0,0.34210526315789475,0.07216494845360824
12,0.9999999999999999,0.0,0.0033444816053511705,0.0009500475023751188,0.1111111111111111,0.0,0.34210526315789475,0.07216494845360824
13,0.14666666666666667,0.1414141414141414,0.04682274247491639,0.0004500225011250563,0.1111111111111111,1.0,0.21052631578947367,0.0
14,0.013333333333333332,0.015151515151515152,0.013377926421404682,0.00020001000050002502,0.1111111111111111,0.0,0.07894736842105263,0.04123711340206185
15,0.013333333333333332,0.015151515151515152,0.023411371237458192,0.003950197509875494,0.25925925925925924,1.0,0.07894736842105263,0.08247422680412371
16,0.02666666666666667,0.0404040404040404,0.030100334448160532,0.0004500225011250563,0.1111111111111111,0.0,0.07894736842105263,0.12371134020618557
17,0.039999999999999994,0.12626262626262624,0.04682274247491639,0.0009500475023751188,1.0,1.0,0.07894736842105263,0.12371134020618557
18,0.021333333333333333,0.024242424242424242,0.24749163879598662,0.0,0.1111111111111111,0.0,0.0,0.030927835051546393
19,0.032,0.5454545454545455,0.04682274247491639,0.2999649982499125,0.1111111111111111,1.0,0.15789473684210525,0.07216494845360824
20,0.10666666666666666,0.24242424242424243,0.023411371237458192,0.00020001000050002502,0.1111111111111111,1.0,1.0,0.27835051546391754
21,0.05333333333333333,1.0,0.013377926421404682,0.0007000350017500875,0.1111111111111111,1.0,0.21052631578947367,0.22680412371134018
22,0.9999999999999999,0.8484848484848485,0.13043478260869565,0.0,0.7037037037037037,0.0,1.0,0.9999999999999999
23,0.02666666666666667,0.0303030303030303,0.010033444816053512,0.09995499774988749,0.1111111111111111,0.0,0.21052631578947367,0.04123711340206185
24,0.018666666666666668,0.0101010101010101,0.09698996655518395,0.0,0.1111111111111111,1.0,0.05263157894736842,0.0
25,0.06666666666666667,0.06060606060606061,0.04682274247491639,0.0005500275013750688,0.1111111111111111,1.0,0.34210526315789475,0.07216494845360824
26,0.12,0.08080808080808081,1.0,5.000250012500625e-05,0.1111111111111111,1.0,0.34210526315789475,0.07216494845360824
27,0.0,0.1313131313131313,0.19732441471571907,0.0,0.0,0.0,0.13157894736842105,0.12371134020618557
28,0.005333333333333332,0.17575757575757575,0.06354515050167224,0.0,0.048148148148148134,0.0,0.10526315789473684,0.17525773195876287
29,0.05333333333333333,0.1818181818181818,0.04682274247491639,0.0,0.5792592592592591,0.0,0.21052631578947367,0.18556701030927836
